dip_direction,dip,rake,magnitude,easting,northing,depth_m
220,35,160.0,2.02,614487.2075340068,4132504.811559368,-4370.0
155,80,40.0,1.51,630166.8507010754,4110890.607664334,-6540.0
325,75,-30.0,2.82,616342.8122620286,4130754.9065559837,-6490.0
145,90,20.0,1.61,617411.3533594488,4129345.7218763027,-8670.0
170,30,0.0,1.68,623780.8422432314,4119209.5808668574,-3530.0
75,50,-150.0,1.68,623780.8422432314,4119209.5808668574,-3530.0
95,70,-100.0,1.61,626861.0828484211,4112116.360054943,-2590.0
350,40,0.0,1.61,626861.0828484211,4112116.360054943,-2590.0
330,60,-20.0,3.1,618533.4585137089,4127308.596198167,-5590.0
305,65,170.0,1.89,624887.7179917935,4125347.8729497273,-1330.0
165,75,40.0,1.85,619241.6031822492,4127392.618940942,-7940.0
220,55,100.0,2.27,626989.0288583727,4113449.9370012674,-3080.0
310,80,30.0,2.13,619181.5980752243,4125375.8276048824,-880.0
95,55,-80.0,2.13,619181.5980752243,4125375.8276048824,-880.0
120,85,-100.0,1.55,602957.1293324826,4153715.6329600345,-4650.0
60,5,70.0,1.55,602957.1293324826,4153715.6329600345,-4650.0
145,75,-40.0,1.68,619453.6958623966,4125990.0280689136,-5090.0
230,40,70.0,2.08,619749.5135956025,4115600.2097883117,-5040.0
240,60,160.0,2.29,630825.4173275304,4110438.4192996235,-7820.0
55,90,170.0,2.38,620957.4285497675,4123181.8554703617,-2730.0
240,60,140.0,2.64,627364.0552017236,4113122.687676563,-2490.0
230,75,110.0,1.66,627405.9618989722,4112309.534294817,-1800.0
235,40,180.0,1.86,619227.0413354953,4126338.2046847446,-5310.0
65,80,-110.0,1.58,618880.0992397404,4126832.639140254,-5370.0
70,70,-160.0,1.58,618880.0992397404,4126832.639140254,-5370.0
130,45,-110.0,2.78,622440.1797221171,4127956.5939147733,-1830.0
85,90,-180.0,2.78,622440.1797221171,4127956.5939147733,-1830.0
140,40,-150.0,1.67,627712.176939159,4109687.860967288,-410.0
55,85,-120.0,2.43,620498.5601587117,4124247.9586895844,-4880.0
245,40,140.0,1.77,621790.8394326164,4121788.2897313805,-6220.0
95,80,-150.0,2.62,627166.9011998113,4112453.8831497254,-4510.0
330,75,-40.0,1.28,629290.4033041496,4113965.836644126,-8360.0
150,90,-20.0,1.77,618910.9620755528,4126740.602648912,-5030.0
225,30,170.0,1.69,620569.5394377399,4124452.4222017755,-5490.0
165,35,0.0,1.88,615554.9264203517,4132186.582040296,-6100.0
75,55,-150.0,1.88,615554.9264203517,4132186.582040296,-6100.0
210,40,20.0,2.03,622214.320263403,4131282.4335184027,-1820.0
85,60,-110.0,1.95,617244.4481187852,4128603.5940038296,-1650.0
235,70,160.0,2.63,619152.8952494593,4126355.645611964,-5160.0
110,90,-120.0,1.45,617990.2587797663,4135438.6841996843,-2130.0
340,50,20.0,1.54,628689.8659436526,4113549.7392518315,-5120.0
220,10,150.0,1.24,618751.6769193686,4127552.1175876684,-8720.0
125,20,-20.0,1.69,617001.9381723432,4130098.2787193106,-7910.0
90,70,-180.0,1.65,626997.4276286183,4114855.6965975445,-1370.0
235,50,100.0,1.65,626997.4276286183,4114855.6965975445,-1370.0
225,45,50.0,2.2,626675.3943116296,4112649.923467343,-860.0
80,70,-120.0,1.43,620305.0893266092,4124337.657024624,-3410.0
70,45,-170.0,1.43,620305.0893266092,4124337.657024624,-3410.0
100,50,-150.0,2.35,622287.8905680757,4131302.0030847453,-1770.0
245,55,-170.0,1.62,619646.0644750558,4125974.275471457,-5050.0
85,80,-120.0,1.62,619646.0644750558,4125974.275471457,-5050.0
130,60,-40.0,1.59,618916.032794293,4127424.9837117465,-8130.000000000001
250,75,110.0,1.68,626269.0348421377,4115066.6794884936,-2390.0
150,35,-90.0,1.81,617794.5513398002,4134659.135313181,-1700.0
360,75,-50.0,1.81,617794.5513398002,4134659.135313181,-1700.0
145,90,-40.0,1.86,618910.17531462,4126796.075986662,-4980.0
150,75,0.0,2.27,619997.8470940199,4125147.0316020204,-6000.0
65,65,-130.0,2.27,619997.8470940199,4125147.0316020204,-6000.0
115,25,-60.0,2.27,619997.8470940199,4125147.0316020204,-6000.0
155,30,0.0,1.47,616685.0704417783,4130574.7214786992,-6380.0
335,75,10.0,2.34,627599.1789219526,4113237.2179707307,-2110.0
80,65,-110.0,2.34,627599.1789219526,4113237.2179707307,-2110.0
105,20,-140.0,1.69,615993.1393417388,4131471.34918346,-7130.0
215,45,100.0,1.36,626713.8968454344,4112058.6596764703,-2240.0
235,50,80.0,2.03,626986.240307731,4113634.846460938,-2230.0
210,40,30.0,2.19,626878.743725622,4113892.158071377,-2870.0
230,45,100.0,1.61,627304.2950053172,4113158.7744566724,-3140.0
85,60,150.0,1.61,627304.2950053172,4113158.7744566724,-3140.0
145,45,-30.0,2.23,621616.4220854205,4122599.538960272,-5120.0
135,20,-110.0,2.16,618494.292572718,4140494.9822306344,-4460.0
185,35,-20.0,2.16,618494.292572718,4140494.9822306344,-4460.0
145,20,-20.0,1.6,619331.2674381342,4126284.2027008864,-6860.0
205,85,140.0,1.93,595849.0364812491,4108007.9444495123,-15100.0
160,90,10.0,2.57,615109.3794200374,4131292.698616142,180.0
250,50,160.0,1.87,619479.7259042036,4123123.7024774854,-6140.0
70,75,110.0,1.87,619479.7259042036,4123123.7024774854,-6140.0
190,80,20.0,1.66,626936.6791969475,4110046.0504865963,-1650.0
150,15,-30.0,2.21,618978.8059863207,4127166.9465232794,-7750.0
140,50,-20.0,2.0,622133.0410947531,4121645.2998240325,-4650.0
310,70,0.0,2.4,618050.2431901688,4128041.568792903,-5710.0
50,70,-130.0,2.4,618050.2431901688,4128041.568792903,-5710.0
75,45,-100.0,2.4,618050.2431901688,4128041.568792903,-5710.0
90,25,-170.0,1.6,632275.548002325,4118987.5571586858,-4450.0
180,25,-10.0,1.6,632275.548002325,4118987.5571586858,-4450.0
130,90,40.0,3.5,618186.334756826,4127821.549217425,-5530.0
50,90,180.0,2.85,613991.3106428373,4130962.992878681,320.0
80,65,-140.0,2.41,619035.8061898729,4127315.714555102,-8490.0
150,70,-30.0,2.41,619035.8061898729,4127315.714555102,-8490.0
320,80,-40.0,2.31,617506.4648185887,4128884.6859096014,-5520.0
220,60,70.0,1.94,621068.7662905023,4117505.5483693676,-5370.0
55,80,-110.0,2.32,611366.6529688269,4138380.930510529,-5810.0
310,45,-10.0,2.32,611366.6529688269,4138380.930510529,-5810.0
140,55,-10.0,3.0,620722.3944492211,4124103.2167027234,-5790.0
255,75,170.0,1.41,603202.0958364196,4150593.130463113,-5570.0
155,60,-20.0,1.41,603202.0958364196,4150593.130463113,-5570.0
320,75,-50.0,2.78,619728.9201388457,4126382.3454174637,-8039.999999999999
225,15,-140.0,1.69,621977.1325346318,4122197.8825497674,-4010.0
150,75,20.0,3.2,615085.7302125822,4133012.37779073,-7210.0
65,30,-140.0,1.71,614999.1750013104,4132863.2302238075,-6980.0
300,70,30.0,1.71,614999.1750013104,4132863.2302238075,-6980.0
145,30,0.0,2.15,614624.224009511,4133283.4626326156,-6500.0
40,90,-120.0,1.89,614817.6814970047,4133175.1472775685,-6530.0
265,50,-90.0,1.87,619212.2646681544,4126337.994596753,-5210.0
50,40,-120.0,1.87,619212.2646681544,4126337.994596753,-5210.0
85,50,-140.0,1.21,617125.527827928,4129711.6159637384,-7310.0
245,45,-150.0,1.21,617125.527827928,4129711.6159637384,-7310.0
75,80,-110.0,1.74,619135.2286355451,4126558.837855953,-5350.0
245,70,120.0,1.99,625622.8343497474,4115722.832491578,-2660.0
105,40,180.0,1.99,625622.8343497474,4115722.832491578,-2660.0
