"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.55284,-0.55284,0.62349,5.6916e+05,4.1461e+06,-1613.4
-0.68938,-0.68938,0.22252,5.6915e+05,4.1461e+06,-1653.5
-0.68938,-0.68938,-0.22252,5.6915e+05,4.1461e+06,-1698
-0.55284,-0.55284,-0.62349,5.6916e+05,4.1461e+06,-1738.1
-0.3068,-0.3068,-0.90097,5.6919e+05,4.1461e+06,-1765.8
-7.9703e-17,-0.43388,0.90097,5.6922e+05,4.1461e+06,-1585.7
-1.4362e-16,-0.78183,0.62349,5.6922e+05,4.1461e+06,-1613.4
-1.7909e-16,-0.97493,0.22252,5.6922e+05,4.1461e+06,-1653.5
-1.7909e-16,-0.97493,-0.22252,5.6922e+05,4.1461e+06,-1698
-1.4362e-16,-0.78183,-0.62349,5.6922e+05,4.1461e+06,-1738.1
-7.9703e-17,-0.43388,-0.90097,5.6922e+05,4.1461e+06,-1765.8
0.3068,-0.3068,0.90097,5.6925e+05,4.1461e+06,-1585.7
0.55284,-0.55284,0.62349,5.6927e+05,4.1461e+06,-1613.4
0.68938,-0.68938,0.22252,5.6929e+05,4.1461e+06,-1653.5
0.68938,-0.68938,-0.22252,5.6929e+05,4.1461e+06,-1698
0.55284,-0.55284,-0.62349,5.6927e+05,4.1461e+06,-1738.1
0.3068,-0.3068,-0.90097,5.6925e+05,4.1461e+06,-1765.8
0,0,1,5.6867e+05,4.1456e+06,-2014.6
0,0,-1,5.6867e+05,4.1456e+06,-2214.6
0.43388,0,0.90097,5.6871e+05,4.1456e+06,-2024.5
0.78183,0,0.62349,5.6874e+05,4.1456e+06,-2052.2
0.97493,0,0.22252,5.6876e+05,4.1456e+06,-2092.3
0.97493,0,-0.22252,5.6876e+05,4.1456e+06,-2136.8
0.78183,0,-0.62349,5.6874e+05,4.1456e+06,-2176.9
0.43388,0,-0.90097,5.6871e+05,4.1456e+06,-2204.7
0.3068,0.3068,0.90097,5.687e+05,4.1457e+06,-2024.5
0.55284,0.55284,0.62349,5.6872e+05,4.1457e+06,-2052.2
0.68938,0.68938,0.22252,5.6873e+05,4.1457e+06,-2092.3
0.68938,0.68938,-0.22252,5.6873e+05,4.1457e+06,-2136.8
0.55284,0.55284,-0.62349,5.6872e+05,4.1457e+06,-2176.9
0.3068,0.3068,-0.90097,5.687e+05,4.1457e+06,-2204.7
2.6568e-17,0.43388,0.90097,5.6867e+05,4.1457e+06,-2024.5
4.7873e-17,0.78183,0.62349,5.6867e+05,4.1457e+06,-2052.2
5.9697e-17,0.97493,0.22252,5.6867e+05,4.1457e+06,-2092.3
5.9697e-17,0.97493,-0.22252,5.6867e+05,4.1457e+06,-2136.8
4.7873e-17,0.78183,-0.62349,5.6867e+05,4.1457e+06,-2176.9
2.6568e-17,0.43388,-0.90097,5.6867e+05,4.1457e+06,-2204.7
-0.3068,0.3068,0.90097,5.6863e+05,4.1457e+06,-2024.5
-0.55284,0.55284,0.62349,5.6861e+05,4.1457e+06,-2052.2
-0.68938,0.68938,0.22252,5.686e+05,4.1457e+06,-2092.3
-0.68938,0.68938,-0.22252,5.686e+05,4.1457e+06,-2136.8
-0.55284,0.55284,-0.62349,5.6861e+05,4.1457e+06,-2176.9
-0.3068,0.3068,-0.90097,5.6863e+05,4.1457e+06,-2204.7
-0.43388,5.3135e-17,0.90097,5.6862e+05,4.1456e+06,-2024.5
-0.78183,9.5747e-17,0.62349,5.6859e+05,4.1456e+06,-2052.2
-0.97493,1.1939e-16,0.22252,5.6857e+05,4.1456e+06,-2092.3
-0.97493,1.1939e-16,-0.22252,5.6857e+05,4.1456e+06,-2136.8
-0.78183,9.5747e-17,-0.62349,5.6859e+05,4.1456e+06,-2176.9
-0.43388,5.3135e-17,-0.90097,5.6862e+05,4.1456e+06,-2204.7
-0.3068,-0.3068,0.90097,5.6863e+05,4.1456e+06,-2024.5
-0.55284,-0.55284,0.62349,5.6861e+05,4.1456e+06,-2052.2
-0.68938,-0.68938,0.22252,5.686e+05,4.1456e+06,-2092.3
-0.68938,-0.68938,-0.22252,5.686e+05,4.1456e+06,-2136.8
-0.55284,-0.55284,-0.62349,5.6861e+05,4.1456e+06,-2176.9
-0.3068,-0.3068,-0.90097,5.6863e+05,4.1456e+06,-2204.7
-7.9703e-17,-0.43388,0.90097,5.6867e+05,4.1456e+06,-2024.5
-1.4362e-16,-0.78183,0.62349,5.6867e+05,4.1456e+06,-2052.2
-1.7909e-16,-0.97493,0.22252,5.6867e+05,4.1455e+06,-2092.3
-1.7909e-16,-0.97493,-0.22252,5.6867e+05,4.1455e+06,-2136.8
-1.4362e-16,-0.78183,-0.62349,5.6867e+05,4.1456e+06,-2176.9
-7.9703e-17,-0.43388,-0.90097,5.6867e+05,4.1456e+06,-2204.7
0.3068,-0.3068,0.90097,5.687e+05,4.1456e+06,-2024.5
0.55284,-0.55284,0.62349,5.6872e+05,4.1456e+06,-2052.2
0.68938,-0.68938,0.22252,5.6873e+05,4.1456e+06,-2092.3
0.68938,-0.68938,-0.22252,5.6873e+05,4.1456e+06,-2136.8
0.55284,-0.55284,-0.62349,5.6872e+05,4.1456e+06,-2176.9
0.3068,-0.3068,-0.90097,5.687e+05,4.1456e+06,-2204.7
0,0,1,5.6835e+05,4.1454e+06,-2354.9
0,0,-1,5.6835e+05,4.1454e+06,-2554.9
0.43388,0,0.90097,5.6839e+05,4.1454e+06,-2364.8
0.78183,0,0.62349,5.6843e+05,4.1454e+06,-2392.6
0.97493,0,0.22252,5.6845e+05,4.1454e+06,-2432.7
0.97493,0,-0.22252,5.6845e+05,4.1454e+06,-2477.2
0.78183,0,-0.62349,5.6843e+05,4.1454e+06,-2517.3
0.43388,0,-0.90097,5.6839e+05,4.1454e+06,-2545
0.3068,0.3068,0.90097,5.6838e+05,4.1454e+06,-2364.8
0.55284,0.55284,0.62349,5.6841e+05,4.1454e+06,-2392.6
0.68938,0.68938,0.22252,5.6842e+05,4.1454e+06,-2432.7
0.68938,0.68938,-0.22252,5.6842e+05,4.1454e+06,-2477.2
0.55284,0.55284,-0.62349,5.6841e+05,4.1454e+06,-2517.3
0.3068,0.3068,-0.90097,5.6838e+05,4.1454e+06,-2545
2.6568e-17,0.43388,0.90097,5.6835e+05,4.1454e+06,-2364.8
4.7873e-17,0.78183,0.62349,5.6835e+05,4.1454e+06,-2392.6
5.9697e-17,0.97493,0.22252,5.6835e+05,4.1455e+06,-2432.7
5.9697e-17,0.97493,-0.22252,5.6835e+05,4.1455e+06,-2477.2
4.7873e-17,0.78183,-0.62349,5.6835e+05,4.1454e+06,-2517.3
2.6568e-17,0.43388,-0.90097,5.6835e+05,4.1454e+06,-2545
-0.3068,0.3068,0.90097,5.6832e+05,4.1454e+06,-2364.8
-0.55284,0.55284,0.62349,5.6829e+05,4.1454e+06,-2392.6
-0.68938,0.68938,0.22252,5.6828e+05,4.1454e+06,-2432.7
-0.68938,0.68938,-0.22252,5.6828e+05,4.1454e+06,-2477.2
-0.55284,0.55284,-0.62349,5.6829e+05,4.1454e+06,-2517.3
-0.3068,0.3068,-0.90097,5.6832e+05,4.1454e+06,-2545
-0.43388,5.3135e-17,0.90097,5.6831e+05,4.1454e+06,-2364.8
-0.78183,9.5747e-17,0.62349,5.6827e+05,4.1454e+06,-2392.6
-0.97493,1.1939e-16,0.22252,5.6825e+05,4.1454e+06,-2432.7
-0.97493,1.1939e-16,-0.22252,5.6825e+05,4.1454e+06,-2477.2
-0.78183,9.5747e-17,-0.62349,5.6827e+05,4.1454e+06,-2517.3
-0.43388,5.3135e-17,-0.90097,5.6831e+05,4.1454e+06,-2545
-0.3068,-0.3068,0.90097,5.6832e+05,4.1453e+06,-2364.8
-0.55284,-0.55284,0.62349,5.6829e+05,4.1453e+06,-2392.6
-0.68938,-0.68938,0.22252,5.6828e+05,4.1453e+06,-2432.7
-0.68938,-0.68938,-0.22252,5.6828e+05,4.1453e+06,-2477.2
-0.55284,-0.55284,-0.62349,5.6829e+05,4.1453e+06,-2517.3
-0.3068,-0.3068,-0.90097,5.6832e+05,4.1453e+06,-2545
-7.9703e-17,-0.43388,0.90097,5.6835e+05,4.1453e+06,-2364.8
-1.4362e-16,-0.78183,0.62349,5.6835e+05,4.1453e+06,-2392.6
-1.7909e-16,-0.97493,0.22252,5.6835e+05,4.1453e+06,-2432.7
-1.7909e-16,-0.97493,-0.22252,5.6835e+05,4.1453e+06,-2477.2
-1.4362e-16,-0.78183,-0.62349,5.6835e+05,4.1453e+06,-2517.3
-7.9703e-17,-0.43388,-0.90097,5.6835e+05,4.1453e+06,-2545
0.3068,-0.3068,0.90097,5.6838e+05,4.1453e+06,-2364.8
0.55284,-0.55284,0.62349,5.6841e+05,4.1453e+06,-2392.6
0.68938,-0.68938,0.22252,5.6842e+05,4.1453e+06,-2432.7
0.68938,-0.68938,-0.22252,5.6842e+05,4.1453e+06,-2477.2
0.55284,-0.55284,-0.62349,5.6841e+05,4.1453e+06,-2517.3
0.3068,-0.3068,-0.90097,5.6838e+05,4.1453e+06,-2545
0,0,1,5.679e+05,4.1449e+06,-2633
0,0,-1,5.679e+05,4.1449e+06,-2833
0.43388,0,0.90097,5.6795e+05,4.1449e+06,-2642.9
0.78183,0,0.62349,5.6798e+05,4.1449e+06,-2670.7
0.97493,0,0.22252,5.68e+05,4.1449e+06,-2710.8
0.97493,0,-0.22252,5.68e+05,4.1449e+06,-2755.3
0.78183,0,-0.62349,5.6798e+05,4.1449e+06,-2795.4
0.43388,0,-0.90097,5.6795e+05,4.1449e+06,-2823.1
0.3068,0.3068,0.90097,5.6793e+05,4.145e+06,-2642.9
0.55284,0.55284,0.62349,5.6796e+05,4.145e+06,-2670.7
0.68938,0.68938,0.22252,5.6797e+05,4.145e+06,-2710.8
0.68938,0.68938,-0.22252,5.6797e+05,4.145e+06,-2755.3
0.55284,0.55284,-0.62349,5.6796e+05,4.145e+06,-2795.4
0.3068,0.3068,-0.90097,5.6793e+05,4.145e+06,-2823.1
2.6568e-17,0.43388,0.90097,5.679e+05,4.145e+06,-2642.9
4.7873e-17,0.78183,0.62349,5.679e+05,4.145e+06,-2670.7
5.9697e-17,0.97493,0.22252,5.679e+05,4.145e+06,-2710.8
5.9697e-17,0.97493,-0.22252,5.679e+05,4.145e+06,-2755.3
4.7873e-17,0.78183,-0.62349,5.679e+05,4.145e+06,-2795.4
2.6568e-17,0.43388,-0.90097,5.679e+05,4.145e+06,-2823.1
-0.3068,0.3068,0.90097,5.6787e+05,4.145e+06,-2642.9
-0.55284,0.55284,0.62349,5.6785e+05,4.145e+06,-2670.7
-0.68938,0.68938,0.22252,5.6783e+05,4.145e+06,-2710.8
-0.68938,0.68938,-0.22252,5.6783e+05,4.145e+06,-2755.3
-0.55284,0.55284,-0.62349,5.6785e+05,4.145e+06,-2795.4
-0.3068,0.3068,-0.90097,5.6787e+05,4.145e+06,-2823.1
-0.43388,5.3135e-17,0.90097,5.6786e+05,4.1449e+06,-2642.9
-0.78183,9.5747e-17,0.62349,5.6783e+05,4.1449e+06,-2670.7
-0.97493,1.1939e-16,0.22252,5.6781e+05,4.1449e+06,-2710.8
-0.97493,1.1939e-16,-0.22252,5.6781e+05,4.1449e+06,-2755.3
-0.78183,9.5747e-17,-0.62349,5.6783e+05,4.1449e+06,-2795.4
-0.43388,5.3135e-17,-0.90097,5.6786e+05,4.1449e+06,-2823.1
-0.3068,-0.3068,0.90097,5.6787e+05,4.1449e+06,-2642.9
-0.55284,-0.55284,0.62349,5.6785e+05,4.1449e+06,-2670.7
-0.68938,-0.68938,0.22252,5.6783e+05,4.1449e+06,-2710.8
-0.68938,-0.68938,-0.22252,5.6783e+05,4.1449e+06,-2755.3
-0.55284,-0.55284,-0.62349,5.6785e+05,4.1449e+06,-2795.4
-0.3068,-0.3068,-0.90097,5.6787e+05,4.1449e+06,-2823.1
-7.9703e-17,-0.43388,0.90097,5.679e+05,4.1449e+06,-2642.9
-1.4362e-16,-0.78183,0.62349,5.679e+05,4.1449e+06,-2670.7
-1.7909e-16,-0.97493,0.22252,5.679e+05,4.1448e+06,-2710.8
-1.7909e-16,-0.97493,-0.22252,5.679e+05,4.1448e+06,-2755.3
-1.4362e-16,-0.78183,-0.62349,5.679e+05,4.1449e+06,-2795.4
-7.9703e-17,-0.43388,-0.90097,5.679e+05,4.1449e+06,-2823.1
0.3068,-0.3068,0.90097,5.6793e+05,4.1449e+06,-2642.9
0.55284,-0.55284,0.62349,5.6796e+05,4.1449e+06,-2670.7
0.68938,-0.68938,0.22252,5.6797e+05,4.1449e+06,-2710.8
0.68938,-0.68938,-0.22252,5.6797e+05,4.1449e+06,-2755.3
0.55284,-0.55284,-0.62349,5.6796e+05,4.1449e+06,-2795.4
0.3068,-0.3068,-0.90097,5.6793e+05,4.1449e+06,-2823.1
0,0,1,5.6743e+05,4.1445e+06,-2868.2
0,0,-1,5.6743e+05,4.1445e+06,-3068.2
0.43388,0,0.90097,5.6747e+05,4.1445e+06,-2878.1
0.78183,0,0.62349,5.6751e+05,4.1445e+06,-2905.8
0.97493,0,0.22252,5.6753e+05,4.1445e+06,-2945.9
0.97493,0,-0.22252,5.6753e+05,4.1445e+06,-2990.4
0.78183,0,-0.62349,5.6751e+05,4.1445e+06,-3030.5
0.43388,0,-0.90097,5.6747e+05,4.1445e+06,-3058.3
0.3068,0.3068,0.90097,5.6746e+05,4.1445e+06,-2878.1
0.55284,0.55284,0.62349,5.6749e+05,4.1446e+06,-2905.8
0.68938,0.68938,0.22252,5.675e+05,4.1446e+06,-2945.9
0.68938,0.68938,-0.22252,5.675e+05,4.1446e+06,-2990.4
0.55284,0.55284,-0.62349,5.6749e+05,4.1446e+06,-3030.5
0.3068,0.3068,-0.90097,5.6746e+05,4.1445e+06,-3058.3
2.6568e-17,0.43388,0.90097,5.6743e+05,4.1446e+06,-2878.1
4.7873e-17,0.78183,0.62349,5.6743e+05,4.1446e+06,-2905.8
5.9697e-17,0.97493,0.22252,5.6743e+05,4.1446e+06,-2945.9
5.9697e-17,0.97493,-0.22252,5.6743e+05,4.1446e+06,-2990.4
4.7873e-17,0.78183,-0.62349,5.6743e+05,4.1446e+06,-3030.5
2.6568e-17,0.43388,-0.90097,5.6743e+05,4.1446e+06,-3058.3
-0.3068,0.3068,0.90097,5.674e+05,4.1445e+06,-2878.1
-0.55284,0.55284,0.62349,5.6737e+05,4.1446e+06,-2905.8
-0.68938,0.68938,0.22252,5.6736e+05,4.1446e+06,-2945.9
-0.68938,0.68938,-0.22252,5.6736e+05,4.1446e+06,-2990.4
-0.55284,0.55284,-0.62349,5.6737e+05,4.1446e+06,-3030.5
-0.3068,0.3068,-0.90097,5.674e+05,4.1445e+06,-3058.3
-0.43388,5.3135e-17,0.90097,5.6739e+05,4.1445e+06,-2878.1
-0.78183,9.5747e-17,0.62349,5.6735e+05,4.1445e+06,-2905.8
-0.97493,1.1939e-16,0.22252,5.6733e+05,4.1445e+06,-2945.9
-0.97493,1.1939e-16,-0.22252,5.6733e+05,4.1445e+06,-2990.4
-0.78183,9.5747e-17,-0.62349,5.6735e+05,4.1445e+06,-3030.5
-0.43388,5.3135e-17,-0.90097,5.6739e+05,4.1445e+06,-3058.3
-0.3068,-0.3068,0.90097,5.674e+05,4.1445e+06,-2878.1
-0.55284,-0.55284,0.62349,5.6737e+05,4.1445e+06,-2905.8
-0.68938,-0.68938,0.22252,5.6736e+05,4.1444e+06,-2945.9
-0.68938,-0.68938,-0.22252,5.6736e+05,4.1444e+06,-2990.4
-0.55284,-0.55284,-0.62349,5.6737e+05,4.1445e+06,-3030.5
-0.3068,-0.3068,-0.90097,5.674e+05,4.1445e+06,-3058.3
-7.9703e-17,-0.43388,0.90097,5.6743e+05,4.1445e+06,-2878.1
-1.4362e-16,-0.78183,0.62349,5.6743e+05,4.1444e+06,-2905.8
-1.7909e-16,-0.97493,0.22252,5.6743e+05,4.1444e+06,-2945.9
-1.7909e-16,-0.97493,-0.22252,5.6743e+05,4.1444e+06,-2990.4
-1.4362e-16,-0.78183,-0.62349,5.6743e+05,4.1444e+06,-3030.5
-7.9703e-17,-0.43388,-0.90097,5.6743e+05,4.1445e+06,-3058.3
0.3068,-0.3068,0.90097,5.6746e+05,4.1445e+06,-2878.1
0.55284,-0.55284,0.62349,5.6749e+05,4.1445e+06,-2905.8
0.68938,-0.68938,0.22252,5.675e+05,4.1444e+06,-2945.9
0.68938,-0.68938,-0.22252,5.675e+05,4.1444e+06,-2990.4
0.55284,-0.55284,-0.62349,5.6749e+05,4.1445e+06,-3030.5
0.3068,-0.3068,-0.90097,5.6746e+05,4.1445e+06,-3058.3
0,0,1,5.6701e+05,4.144e+06,-3071.9
0,0,-1,5.6701e+05,4.144e+06,-3271.9
0.43388,0,0.90097,5.6705e+05,4.144e+06,-3081.8
0.78183,0,0.62349,5.6709e+05,4.144e+06,-3109.5
0.97493,0,0.22252,5.6711e+05,4.144e+06,-3149.6
0.97493,0,-0.22252,5.6711e+05,4.144e+06,-3194.1
0.78183,0,-0.62349,5.6709e+05,4.144e+06,-3234.2
0.43388,0,-0.90097,5.6705e+05,4.144e+06,-3261.9
0.3068,0.3068,0.90097,5.6704e+05,4.144e+06,-3081.8
0.55284,0.55284,0.62349,5.6706e+05,4.1441e+06,-3109.5
0.68938,0.68938,0.22252,5.6708e+05,4.1441e+06,-3149.6
0.68938,0.68938,-0.22252,5.6708e+05,4.1441e+06,-3194.1
0.55284,0.55284,-0.62349,5.6706e+05,4.1441e+06,-3234.2
0.3068,0.3068,-0.90097,5.6704e+05,4.144e+06,-3261.9
2.6568e-17,0.43388,0.90097,5.6701e+05,4.1441e+06,-3081.8
4.7873e-17,0.78183,0.62349,5.6701e+05,4.1441e+06,-3109.5
5.9697e-17,0.97493,0.22252,5.6701e+05,4.1441e+06,-3149.6
5.9697e-17,0.97493,-0.22252,5.6701e+05,4.1441e+06,-3194.1
4.7873e-17,0.78183,-0.62349,5.6701e+05,4.1441e+06,-3234.2
2.6568e-17,0.43388,-0.90097,5.6701e+05,4.1441e+06,-3261.9
-0.3068,0.3068,0.90097,5.6698e+05,4.144e+06,-3081.8
-0.55284,0.55284,0.62349,5.6695e+05,4.1441e+06,-3109.5
-0.68938,0.68938,0.22252,5.6694e+05,4.1441e+06,-3149.6
-0.68938,0.68938,-0.22252,5.6694e+05,4.1441e+06,-3194.1
