easting,northing,depth
576304.4,4141678.97,150.92
575884.88,4141266.29,-913.93
574866.06,4140264.07,-2230.98
574066.98,4139478.01,-3435.95
573527.6,4138947.42,-4640.91
572908.31,4138338.23,-6042.03
572508.77,4137945.2,-6798.64
571929.44,4137375.31,-8059.65
567740.06,4138434.63,-8100
